"player_id_year","player_id","year","preferred_foot","avg_overall_rating","avg_potential","avg_crossing","avg_attacking_work_rate","avg_defensive_work_rate"
"1000_2007",1000,2007,"left",65,74,63,2,2
"1000_2008",1000,2008,"left",64,74,63,2,2
"1000_2009",1000,2009,"left",68.5,73,67.5,2,2
"1000_2010",1000,2010,"left",68.5,72.5,69,2,2
"1000_2011",1000,2011,"left",67.5,69,68.5,2,2
"1000_2012",1000,2012,"left",66.5,66.5,69.5,2,2
"1000_2013",1000,2013,"left",66.5,66.5,69.5,2,2
"1001_2007",1001,2007,"right",72,86,31,2,2
"1001_2008",1001,2008,"right",72,86,31,2,2
"1001_2009",1001,2009,"right",67,80,56,2,2
"1001_2010",1001,2010,"right",67,80,56,2,2
"1001_2011",1001,2011,"right",67,77,49.5,2,2
"1001_2012",1001,2012,"right",71,74,48,2,2
"1001_2013",1001,2013,"right",71.4444444444444,75.1111111111111,48,2,2
"1001_2014",1001,2014,"right",69.6,74.2,48,2,2
"1002_2007",1002,2007,"right",57,62,47,2,2
"1002_2008",1002,2008,"right",64,69,60,2,2
"1002_2009",1002,2009,"right",69.5,74,68.5,2,2
"1002_2010",1002,2010,"right",79.5,85,83,2,2
"1002_2011",1002,2011,"right",79,83,81,2,2
"1002_2012",1002,2012,"right",77,83,78,2,2
"1002_2013",1002,2013,"right",75.6,83,76.2,2,2
"1002_2014",1002,2014,"right",74.8571428571429,81.2857142857143,75.5714285714286,2.85714285714286,1.14285714285714
"1003_2007",1003,2007,"right",67,71.5,56.5,2,2
"1003_2008",1003,2008,"right",68,70,57,2,2
"1003_2009",1003,2009,"right",66,68,54.5,2,2
"1003_2010",1003,2010,"right",64,68,52,2,2
"1003_2013",1003,2013,"right",64,68,52,2,2
"1003_2014",1003,2014,"right",63,67,51,2,2
"1004_2007",1004,2007,"right",37,42,37,2,1
"1004_2009",1004,2009,"right",37,42,37,2,1
"1004_2010",1004,2010,"left",60,61,57,2,1
"1004_2010",1004,2010,"right",61,65,57,2,1
"1004_2011",1004,2011,"left",61.5,69,56,2,1
"1004_2012",1004,2012,"left",63.5,71,59.5,2,1
"1004_2013",1004,2013,"left",62.25,67,65.5,2,2
"1004_2014",1004,2014,"left",62.5,66.5,62,2,2
"1005_2007",1005,2007,"right",65,82,62,3,2
"1005_2008",1005,2008,"right",64,82,62,3,2
"1005_2010",1005,2010,"right",65,82,62,3,2
"1005_2011",1005,2011,"right",68,80.5,65.5,3,2
"1005_2012",1005,2012,"right",67,73,69,2,2
"1006_2007",1006,2007,"right",66,82,13,2,2
"1006_2011",1006,2011,"right",66,80.5,13,2,2
"1006_2012",1006,2012,"right",66,83,13,2,2
"1006_2013",1006,2013,"right",67,80,19,2,2
"1006_2014",1006,2014,"right",69,77.3333333333333,25,2,2
"1007_2007",1007,2007,"right",69,75,62,2,1
"1007_2013",1007,2013,"right",69.75,75,63.5,2,1
"1007_2014",1007,2014,"right",72,76.5454545454545,67.6363636363636,2,1
"1008_2007",1008,2007,"right",68,81,41,2,2
"1008_2011",1008,2011,"right",69,78,41,2,2
"1008_2012",1008,2012,"right",70.5,76,41,2,2
"1008_2013",1008,2013,"right",71.75,77,38,2,2
"1008_2014",1008,2014,"right",71,73,31.8,2,2
"1009_2007",1009,2007,"right",62,69,53,2,2
"100_2007",100,2007,"left",66,72,64,3,1
"100_2010",100,2010,"left",66,72,64,3,1
"100_2011",100,2011,"left",63.5,66.5,64,3,1
"100_2012",100,2012,"left",61.5,61.5,64,2,2
"100_2013",100,2013,"left",60.5,60.5,67.5,3,1.5
"100_2014",100,2014,"left",63.5,63.5,72,2,2
"1010_2007",1010,2007,"right",55,61,51,2,2
"1010_2008",1010,2008,"right",62,67,41,2,2
"1010_2009",1010,2009,"right",68,73,41,2,2
"1010_2010",1010,2010,"right",73,80.5,57.5,2,2
"1010_2011",1010,2011,"right",75.5,80.5,58,2,2
"1010_2012",1010,2012,"right",76,81,58,2,2
"1010_2013",1010,2013,"right",74.2,81.6,58,2,2
"1010_2014",1010,2014,"right",74,76,58,2,2
"1011_2007",1011,2007,"right",75.5,78.5,27.5,2,2
"1011_2008",1011,2008,"right",75,80,20,2,2
"1011_2009",1011,2009,"right",74,80,20,2,2
"1011_2010",1011,2010,"right",75,80,17.5,2,2
"1011_2011",1011,2011,"right",75,79,15,2,2
"1011_2012",1011,2012,"right",73,74,15,2,2
"1011_2013",1011,2013,"right",73,73.6,17,2,2
"1011_2014",1011,2014,"right",73,73,25,2,2
"1012_2007",1012,2007,"right",65.5,71,53,NA,NA
"1012_2008",1012,2008,"right",63,71,53,NA,NA
"1012_2009",1012,2009,"right",69,71,60,NA,NA
"1012_2010",1012,2010,"left",66,71,60,NA,NA
"1012_2011",1012,2011,"left",66,71,60,NA,NA
"1013_2007",1013,2007,"right",63,66,61,2,2
"1013_2009",1013,2009,"right",63,66,61,2,2
"1013_2010",1013,2010,"right",71,78,63,2,2
"1013_2011",1013,2011,"right",73.5,80.5,64,2,2
"1013_2012",1013,2012,"right",73,78,64,2,2
"1013_2013",1013,2013,"right",72.25,77,63.25,2,2
"1013_2014",1013,2014,"right",72.3333333333333,75,61,2,2
"1014_2007",1014,2007,"left",53,67,41,2,2
"1014_2008",1014,2008,"left",53,67,41,2,2
"1014_2010",1014,2010,"left",54,67,41,2,2
"1014_2011",1014,2011,"left",59,64.5,61.5,2,2
"1014_2012",1014,2012,"left",59,60.5,58,2,2
"1015_2007",1015,2007,"right",59,69,44,3,1
"1015_2008",1015,2008,"right",59,69,44,3,1
"1015_2009",1015,2009,"right",60,69,44,3,1
"1015_2010",1015,2010,"right",61,71,47,3,1
"1015_2011",1015,2011,"right",62,71,49.5,3,1
"1015_2012",1015,2012,"right",61.5,67.5,48.5,3,1
"1015_2013",1015,2013,"right",68.5,70.6666666666667,56.5,3,1
"1015_2014",1015,2014,"right",74.1666666666667,74.1666666666667,65,3,1
"1016_2007",1016,2007,"right",62,75,40,2,2
"1016_2008",1016,2008,"right",62,75,40,2,2
"1016_2009",1016,2009,"right",57,75,40,2,2
"1016_2010",1016,2010,"right",59,75,40,2,2
"1016_2011",1016,2011,"right",62,72,40,2,2
"1016_2012",1016,2012,"right",66.5,74,59,2,2
"1016_2013",1016,2013,"right",64,70,59,2,2
"1016_2014",1016,2014,"right",64,67,59,2,2
"1017_2007",1017,2007,"right",54,65,37,2,1
"1017_2008",1017,2008,"right",54,65,37,2,1
"1017_2009",1017,2009,"right",57,68,37,2,1
"1017_2010",1017,2010,"right",69,79,54,2,1
"1017_2011",1017,2011,"right",76.5,81.5,63,2,1
"1017_2012",1017,2012,"right",76.5,81,63,2,1
"1017_2013",1017,2013,"right",76.75,81,63,3,1
"1017_2014",1017,2014,"right",75,78,63,3,1
"1018_2007",1018,2007,"right",63,64,28,2,2
"1018_2013",1018,2013,"right",62.5,63.5,28,2,2
"1018_2014",1018,2014,"right",63,63.3333333333333,28,2,2
"1019_2007",1019,2007,"right",60,71,62,2,2
"1019_2008",1019,2008,"right",60,71,62,2,2
"1019_2009",1019,2009,"left",68,75.5,67,2,2
"1019_2010",1019,2010,"left",77,81,72,2,2
"1019_2011",1019,2011,"left",78,82,72,2,2
"1019_2012",1019,2012,"left",80.5,83,75.5,2,2
"1019_2013",1019,2013,"left",80.5,83,82,2,2
"1019_2014",1019,2014,"left",78.75,79.75,79.5,2,2
"101_2007",101,2007,"right",57,61,36,2,2
"101_2011",101,2011,"right",57,61,36,2,2
"101_2012",101,2012,"right",56.5,61.5,40,2,2
"101_2013",101,2013,"right",61,61.3333333333333,44,2,2.33333333333333
"101_2014",101,2014,"right",61,61,44,2,2
"1020_2007",1020,2007,"right",46,60,24,2,2
"1020_2010",1020,2010,"right",53,64,24,2,2
"1020_2011",1020,2011,"right",60,66.5,17.5,2,2
"1020_2012",1020,2012,"right",63,68,11,2,2
"1020_2013",1020,2013,"right",60,65,11,2,2
"1021_2007",1021,2007,"right",65,85,60,2,2
"1021_2009",1021,2009,"right",65,85,60,2,2
"1021_2011",1021,2011,"right",65.5,78,61,2,2
"1021_2012",1021,2012,"right",75.5,79,74,2,2
"1021_2013",1021,2013,"right",74,78.5,72,2,2
